@relation nova
@attribute fix numeric
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entrophy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug numeric
@data
0,1,1,1,0,0,2,38,2,0.005382,12,60,186.806452,11,0
0,1,1,2,1,2,0,9,7,5.336134,13,333.5,1.260559,7,0
0,2,3,5,1.667251,16,21,162.6,5,11.916049,33,52,23.267348,34,1
0,1,1,1,0,1,0,36,2,0.008345,13,61,120.833564,12,0
0,1,1,1,0,3,2,107,5,14.897014,8,55,1.067128,7,0
0,1,1,1,0,1,1,155,5,0.306157,8,56,4.266294,35,0
0,1,1,1,0,1,0,37,2,0.01088,14,62,92.914894,13,0
0,1,1,1,0,1,0,38,2,0.003762,15,63,266.846154,14,0
0,1,3,4,1.389444,230,230,350.5,7,4.046279,75,58.5,2.556912,39,1
0,1,1,1,0,1,0,39,2,0.003669,16,64,273.555205,15,0
0,1,1,1,0,1,0,40,2,0.056586,17,65,18.672326,16,0
0,1,1,1,0,1,0,41,2,0.001354,18,66,739.461538,17,0
0,1,1,1,0,1,0,42,2,0.00963,19,67,104.846154,18,0
0,1,1,1,0,1,0,242,7,0.074884,17,61,14.353941,40,1
0,1,3,4,1.164513,81,10,379.25,7,11.285312,77,1928.5,2.805054,104,1
1,1,1,1,0,0,7,43,2,0.0275,20,68,37.363636,19,0
0,1,1,1,0,2,1,36,2,0.01434,21,69,70.733656,20,0
0,1,3,4,1.728633,12,14,350.75,7,0.119994,80,63.5,7.404311,44,1
1,1,1,1,0,4,4,986,5,2.319572,30,66,1.431114,45,0
0,1,1,1,0,11,16,986,5,0.01412,31,67,71.819672,46,0
0,1,1,1,0,2,0,257,7,0.037731,14,68,27.503067,47,1
0,1,1,1,0,82,0,0,1,0,0,69,0,8,0
0,1,2,2,1,13,3,205,7,7.591163,37,70.5,1.066013,46,1
0,7,14,105,5.925687,148,308,150.095238,7,12.437316,812,122,1.002671,3,1
0,2,233,1765,9.478423,1,420366,238.183569,7,47.414965,1801,1057,1.337694,1763,0
0,1,1,1,0,6,3,207,7,0.344144,9,2,3.905764,1,0
0,5,11,44,5.003479,42,69,213.795455,7,1.526095,488,1952.5,1.017441,7,1
0,1,1,1,0,2,2,99,7,0.03978,8,69,26.138202,6,1
1,3,4,11,2.07365,127,112,101.818182,7,3.413524,77,340,1.285963,269,1
0,3,10,51,5.447789,83,142,209.411765,7,0.385139,599,2000,1.30425,178,1
0,1,1,1,0,0,2,122,7,0.741181,13,346,2.349199,270,0
0,1,1,2,0.468996,10,0,59,8,0.477674,14,0.5,1.02337,1,1
1,1,2,2,0.710677,31,5,404,7,0.74059,46,2.5,2.012706,1,1
1,1,1,1,0,2,2,224,7,0.028449,18,4,36.150529,2,0
0,1,1,1,0,2,2,255,7,0.805532,18,0,0,0,1
0,1,1,1,0,158,231,407,7,0.809363,15,70,2.235539,7,1
1,1,2,2,0.863121,21,14,792.5,7,0.461649,64,1940.5,2.142538,118,1
0,1,3,3,1.583358,57,74,315,7,0.8325,45,348,1.734067,273,1
0,1,1,1,0,12,8,582,7,0.031667,28,350,32.578947,274,0
0,1,1,1,0,30,9,292,7,0.864606,30,351,2.156596,275,1
0,1,2,2,0.721928,9,6,402.5,7,0.039896,40,352.5,28.045539,277,0
0,2,2,3,1.521928,8,2,92,8,1.08544,8,4,1.40946,1,0
0,1,2,2,0.890492,13,13,449.5,7,0.023814,61,354.5,53.156808,279,1
0,1,1,1,0,4,1,257,7,0.9089,15,72,2.10023,47,1
0,1,1,1,0,3,1,260,7,0.003704,16,73,271,48,1
0,2,2,3,1.239322,65,30,164.333333,7,0.741875,51,357,1.57148,280,0
1,1,1,1,0,0,1,6,7,0.945648,4,359,2.057476,14,0
0,2,2,2,0.996038,25,29,194.5,7,1.878015,24,71.5,1.352158,8,1
0,3,3,6,1.52301,2,22,50,7,5.843555,33,75.5,62.889113,9,0
1,1,1,1,0,2,2,198,7,2.741852,13,0,0,0,1
0,3,7,24,2.818799,667,378,130.625,8,1.907018,230,12.5,1.068686,22,1
0,1,1,1,0,23,104,519,7,2.75728,8,25,1.362676,23,0
0,1,2,3,0.25266,142,1,43.666667,8,0.006088,13,27,74.003802,26,1
0,1,1,1,0,8,8,224,8,0.899421,20,0,0,0,1
0,3,7,23,2.404178,1434,1239,218,9,2.407683,316,371,1.052792,8,1
0,1,1,1,0,1,1,368,8,1.168414,32,1,1.855861,1,0
0,1,1,1,0,56,5,428,9,0.160405,1,383,7.234216,299,0
1,1,1,1,0,8,4,333,7,1.75485,17,2,1.569849,2,1
0,1,1,2,0.391244,52,52,610,9,0.212332,3,384.5,5.961563,301,1
1,1,1,1,0,1,1,337,7,0.054479,18,3,19.355641,3,0
0,1,1,1,0,18,4,337,7,0.13419,19,4,8.45213,4,1
0,1,2,3,1.299804,39,17,370.333333,9,2.021319,96,6,1.180971,7,0
0,1,2,5,2.161253,187,160,371,9,0.713657,39,388,1.791465,306,1
0,1,1,1,0,1,2,227,9,0.005058,23,391,198.71167,307,1
0,1,1,2,0.996209,38,31,622,9,0.204363,7,392.5,4.669933,309,1
0,1,1,1,0,9,9,470,9,0.013843,5,394,73.240803,310,0
0,1,1,5,1.253827,66,25,239.8,10,1.442255,87,10,1.162573,12,1
0,1,1,1,0,2,2,405,10,0.004306,35,13,233.258064,13,0
0,2,2,2,1,2,2,50,7,5.691794,10,395.5,1.131769,311,1
1,1,1,1,0,1,1,31,7,0.035139,4,397,29.458498,1,0
0,1,1,1,0,1,1,133,7,5.093588,17,398,1.196325,312,0
1,1,1,1,0,13,13,708,9,0.830336,58,399,2.204332,313,1
0,1,1,2,1,4,4,101,7,4.662998,21,400.5,1.160841,31,0
1,1,3,3,0.814227,17,25,152.333333,9,4.541647,32,2,1.11057,3,1
0,1,1,1,0,1,34,199,9,0.036852,15,4,28.135678,4,0
0,3,8,22,3.413455,1363,1369,138.5,10,1.569623,249,412.5,1.670963,9,1
0,1,1,1,0,0,0,32,10,0.008958,1,424,112.627907,35,0
0,1,3,10,2.254777,75,47,195.4,10,1.020619,90,429.5,1.164687,341,1
1,1,1,1,0,1,1,226,9,1.456377,24,14,1.686635,14,1
0,1,1,1,0,4,0,469,10,0.082431,7,435,13.131424,342,0
1,2,2,4,1.950212,6,8,93,10,0.712124,36,437.5,1.730956,343,0
0,1,1,1,0,5,7,264,10,0.050289,10,440,20.884925,344,1
0,1,1,1,0,1,1,351,7,2.590046,20,15,1.386093,15,1
0,2,3,3,1.323532,12,7,222.333333,9,4.127199,48,17,1.167631,17,1
1,1,1,1,0,10,3,262,10,0.362384,11,441,3.759502,345,0
0,2,2,2,0.926212,41,0,0,1,0,0,0.5,0,0,0
0,1,2,3,1.546178,26,9,162.333333,9,4.038854,65,80,1.10086,12,0
0,1,1,1,0,8,1,-176,10,2.092558,37,82,1.477884,13,0
0,2,7,16,2.817551,1090,1093,156.0625,10,1.804164,122,449.5,1.145781,358,1
1,1,1,1,0,2,2,175,10,3.121273,15,458,1.320382,359,0
0,1,1,1,0,1,0,55,8,5.854433,1,29,1.170811,27,1
0,1,1,1,0,9,5,37,2,9.851678,22,6,1.101506,1,0
0,4,11,44,4.824183,1386,1386,38.909091,11,10.183549,101,28.5,0.524731,2,1
0,1,1,1,0,11,5,-169,10,1.606725,38,83,1.622384,14,0
1,1,2,2,0.934068,13,7,174.5,7,8.75548,21,30.5,1.085843,29,0
0,1,1,2,1,0,2,245.5,8,6.86599,2,32.5,1.109186,31,0
0,1,1,1,0,5,2,351,9,2.051725,22,84,1.487395,15,1
0,1,1,1,0,1,0,37,10,1.670046,16,34,1.598786,1,0
0,1,1,1,0,1,0,262,7,8.806042,17,35,1.113558,32,0
0,1,1,1,0,1,1,263,7,0.008356,18,36,120.66759,33,0
1,1,1,1,0,3,3,354,9,0.160613,23,37,7.22613,34,0
0,2,3,6,1.904272,29,43,273.833333,10,4.720608,51,461.5,1.059679,364,1
0,1,1,1,0,1,1,794,10,0.002257,6,465,444.076923,365,0
1,1,1,1,0,2,2,354,9,0.011458,24,38,88.272727,35,0
1,1,1,1,0,1,1,352,8,0.224363,2,39,5.457054,36,0
0,1,1,1,0,18,3,137,8,0.224826,2,40,5.447876,37,1
0,1,2,2,0.457969,105,40,259.5,10,2.682269,42,85.5,1.704574,17,1
0,1,3,3,1.152904,91,0,170.333333,10,6.865629,41,1943,1.068017,121,1
0,1,2,2,0.56651,8,7,177.5,7,1.242176,23,466.5,1.603779,367,0
0,1,3,3,1.289609,39,12,222.666667,10,1.409796,51,1946,7.122462,124,1
0,2,2,7,1.326801,120,15,7.571429,9,10.686812,4,42,1.025901,3,1
1,1,1,1,0,12,4,352,10,0.307998,26,87,4.246778,18,1
0,1,1,1,0,14,7,-163,10,1.373866,39,88,1.727873,19,0
0,1,1,2,1,2,2,1,7,5.468854,1,468.5,1.091427,16,0
0,1,1,1,0,1,1,198,7,8.198657,14,470,1.121971,368,1
0,1,2,2,0.942683,24,1,277,10,0.041539,34,1948.5,19.055169,126,1
0,1,1,1,0,1,0,298,10,0.000937,25,1950,1067.666667,127,0
1,1,1,1,0,1,1,794,10,1.194549,7,471,1.837136,369,0
0,1,2,2,0.976712,173,0,139,9,9.142141,23,243.5,1.072636,138,1
0,2,6,13,2.316357,946,946,164.923077,10,2.236474,117,478,1.127187,379,1
1,2,2,4,1.905639,4,4,32.25,9,0.19485,5,486.5,3.673003,4,1
0,3,3,3,1.100646,110,103,111.666667,10,8.201134,16,1952,1.076028,128,0
